game,game_time,blue_team,blue_team_dragons,blue_team_gold,blue_team_inhibitors,blue_team_barons,blue_team_towers,blue_team_kills,blue_team_top,blue_team_top_kills,blue_team_top_deaths,blue_team_top_assists,blue_team_top_cs,blue_team_top_gold,blue_team_jungle,blue_team_jungle_kills,blue_team_jungle_deaths,blue_team_jungle_assists,blue_team_jungle_cs,blue_team_jungle_gold,blue_team_mid,blue_team_mid_kills,blue_team_mid_deaths,blue_team_mid_assists,blue_team_mid_cs,blue_team_mid_gold,blue_team_bottom,blue_team_bottom_kills,blue_team_bottom_deaths,blue_team_bottom_assists,blue_team_bottom_cs,blue_team_bottom_gold,blue_team_support,blue_team_support_kills,blue_team_support_deaths,blue_team_support_assists,blue_team_support_cs,blue_team_support_gold,red_team,red_team_dragons,red_team_gold,red_team_inhibitors,red_team_barons,red_team_towers,red_team_kills,red_team_top,red_team_top_kills,red_team_top_deaths,red_team_top_assists,red_team_top_cs,red_team_top_gold,red_team_jungle,red_team_jungle_kills,red_team_jungle_deaths,red_team_jungle_assists,red_team_jungle_cs,red_team_jungle_gold,red_team_mid,red_team_mid_kills,red_team_mid_deaths,red_team_mid_assists,red_team_mid_cs,red_team_mid_gold,red_team_bottom,red_team_bottom_kills,red_team_bottom_deaths,red_team_bottom_assists,red_team_bottom_cs,red_team_bottom_gold,red_team_support,red_team_support_kills,red_team_support_deaths,red_team_support_assists,red_team_support_cs,red_team_support_gold
1,early,FX,['hextech'],20.5 K,0,0,0,3,Tay,3,2,0,80,4.6 K,Disamis,0,1,1,83,3.9 K,hauz,0,0,0,122,4.3 K,Brance,0,0,0,124,5.0 K,JoJo,0,0,1,20,2.7 K,VKS,[],21.0 K,0,0,0,3,Guigo,2,2,1,95,5.1 K,Grell,1,1,1,76,4.7 K,Grevthar,0,0,1,114,4.2 K,Trigo,0,0,0,118,4.3 K,Damage,0,0,0,22,2.7 K
10,early,LLL,[],18.7 K,0,0,0,4,Robo,0,0,0,98,3.6 K,Croc,0,2,1,64,3.5 K,tinowns,1,1,3,71,3.7 K,Route,3,1,1,98,5.2 K,Ceos,0,2,4,18,2.7 K,RED,['hextech'],17.6 K,0,0,0,6,fNb,1,0,0,97,4.2 K,Aegis,1,1,3,66,3.8 K,Envy,4,0,1,76,4.4 K,TitaN,0,2,3,57,2.9 K,frostyy,0,1,2,16,2.3 K
11,early,RED,[],2.5 K,0,0,0,0,fNb,0,0,0,0,500,Aegis,0,0,0,0,500,Envy,0,0,0,0,500,TitaN,0,0,0,0,500,frostyy,0,0,0,0,500,LLL,[],2.5 K,0,0,0,0,Robo,0,0,0,0,500,Croc,0,0,0,0,500,tinowns,0,0,0,0,500,Route,0,0,0,0,500,Ceos,0,0,0,0,500
12,early,RED,[],2.5 K,0,0,0,0,fNb,0,0,0,0,500,Aegis,0,0,0,0,500,Envy,0,0,0,0,500,TitaN,0,0,0,0,500,frostyy,0,0,0,0,500,LLL,[],2.5 K,0,0,0,0,Robo,0,0,0,0,500,Croc,0,0,0,0,500,tinowns,0,0,0,0,500,Route,0,0,0,0,500,Ceos,0,0,0,0,500
13,early,VKS,['cloud'],18.8 K,0,0,0,4,Guigo,0,0,2,67,3.4 K,Grell,1,2,1,72,3.9 K,Grevthar,2,0,2,96,4.3 K,Trigo,1,0,1,103,4.6 K,Damage,0,2,3,18,2.6 K,ITZ,[],18.8 K,0,0,0,4,Zzk,1,2,1,93,3.9 K,Yampi,0,1,4,63,3.5 K,NOsFerus,1,0,3,114,4.5 K,NinjaKiwi,2,0,2,101,4.6 K,Nia,0,1,3,16,2.4 K
14,early,ITZ,"['mountain', 'ocean']",21.3 K,0,0,0,1,Zzk,1,1,0,90,4.3 K,Yampi,0,0,0,93,4.1 K,NOsFerus,0,0,0,120,4.4 K,NinjaKiwi,0,0,0,141,5.6 K,Nia,0,1,0,22,2.9 K,VKS,[],21.5 K,0,0,0,2,Guigo,1,1,0,91,4.2 K,Grell,0,0,1,84,4.5 K,Grevthar,0,0,1,132,4.7 K,Trigo,1,0,0,133,5.3 K,Damage,0,0,1,20,2.8 K
15,early,ITZ,[],30.4 K,0,0,1,5,Zzk,3,0,1,136,6.7 K,Yampi,1,0,3,119,6.0 K,NOsFerus,1,0,2,164,6.2 K,NinjaKiwi,0,1,1,190,7.5 K,Nia,0,0,1,37,4.0 K,VKS,"['hextech', 'ocean']",28.0 K,0,0,1,1,Guigo,0,2,0,160,5.8 K,Grell,0,3,0,115,5.3 K,Grevthar,1,0,0,167,6.6 K,Trigo,0,0,1,181,6.4 K,Damage,0,0,1,28,3.8 K
16,early,ITZ,['ocean'],18.0 K,0,0,0,6,Zzk,0,0,4,80,3.6 K,Yampi,3,0,2,66,4.4 K,NOsFerus,2,0,3,78,4.0 K,NinjaKiwi,1,0,1,85,3.6 K,Nia,0,1,4,17,2.4 K,VKS,[],15.0 K,0,0,0,1,Guigo,0,2,1,56,2.8 K,Grell,0,1,1,54,3.0 K,Grevthar,1,2,0,93,3.7 K,Trigo,0,0,1,79,3.2 K,Damage,0,1,1,15,2.2 K
17,early,PNG,[],17.3 K,0,0,0,3,Wizer,1,0,1,85,4.1 K,CarioK,0,0,3,73,3.5 K,dyNquedo,0,0,2,90,3.5 K,Bvoy,0,0,2,86,3.4 K,ProDelta,2,1,1,14,2.8 K,LLL,['chemtech'],15.8 K,0,0,0,1,Robo,0,0,1,85,3.5 K,Croc,0,1,0,58,3.1 K,tinowns,1,0,0,84,3.7 K,Route,0,0,1,90,3.4 K,Ceos,0,2,1,13,2.1 K
18,early,PNG,[],19.9 K,0,0,0,0,Wizer,0,0,0,116,4.2 K,CarioK,0,0,0,75,3.9 K,dyNquedo,0,0,0,124,4.3 K,Bvoy,0,0,0,122,4.4 K,ProDelta,0,1,0,27,3.0 K,LLL,['cloud'],21.6 K,0,0,0,1,Robo,0,0,0,113,4.4 K,Croc,0,0,0,92,4.1 K,tinowns,0,0,0,132,5.2 K,Route,0,0,1,124,4.7 K,Ceos,1,0,0,26,3.2 K
